Source,Target,Type,Time
88,8303,Directed,494
107,8319,Directed,495
3,8230,Directed,496
88,8303,Directed,497
80,8320,Directed,498
3,8230,Directed,499
75,8296,Directed,500
75,8296,Directed,501
108,8321,Directed,502
3,8230,Directed,503
107,8319,Directed,504
3,8230,Directed,505
102,8306,Directed,506
88,8303,Directed,507
109,8252,Directed,508
3,8230,Directed,509
75,8296,Directed,510
75,8296,Directed,511
3,8230,Directed,512
106,8302,Directed,513
88,8303,Directed,514
3,8230,Directed,515
110,8302,Directed,516
18,8244,Directed,517
3,8230,Directed,518
18,8244,Directed,519
111,8322,Directed,520
102,8306,Directed,521
104,8317,Directed,522
17,8323,Directed,523
111,8322,Directed,524
3,8230,Directed,525
18,8244,Directed,526
3,8230,Directed,527
88,8303,Directed,528
75,8296,Directed,529
108,8321,Directed,530
106,8302,Directed,531
59,8281,Directed,532
76,8289,Directed,533
76,8289,Directed,534
75,8296,Directed,535
75,8296,Directed,536
112,8297,Directed,537
86,8284,Directed,538
106,8302,Directed,539
75,8296,Directed,540
88,8303,Directed,541
75,8296,Directed,542
106,8302,Directed,543
113,8289,Directed,544
114,8324,Directed,545
75,8296,Directed,546
18,8244,Directed,547
88,8303,Directed,548
3,8230,Directed,549
14,8240,Directed,550
3,8230,Directed,551
88,8303,Directed,552
88,8303,Directed,553
88,8303,Directed,554
3,8230,Directed,555
14,8240,Directed,556
115,8325,Directed,557
3,8230,Directed,558
116,8283,Directed,559
88,8303,Directed,560
76,8289,Directed,561
117,8326,Directed,562
76,8289,Directed,563
117,8326,Directed,564
88,8303,Directed,565
106,8302,Directed,566
118,8327,Directed,567
3,8230,Directed,568
88,8303,Directed,569
78,8328,Directed,570
78,8328,Directed,571
106,8302,Directed,572
88,8303,Directed,573
85,8301,Directed,574
78,8328,Directed,575
3,8230,Directed,576
27,8254,Directed,577
119,8329,Directed,578
102,8306,Directed,579
116,8283,Directed,580
27,8254,Directed,581
88,8303,Directed,582
102,8306,Directed,583
117,8326,Directed,584
6,8233,Directed,585
67,8321,Directed,586
27,8254,Directed,587
88,8303,Directed,588
88,8303,Directed,589
102,8306,Directed,590
88,8303,Directed,591
102,8306,Directed,592
102,8306,Directed,593
102,8306,Directed,594
118,8327,Directed,595
102,8306,Directed,596
88,8303,Directed,597
50,8299,Directed,598
66,8330,Directed,599
120,8261,Directed,600
88,8303,Directed,601
66,8330,Directed,602
121,8297,Directed,603
3,8230,Directed,604
118,8327,Directed,605
122,8245,Directed,606
12,8238,Directed,607
66,8330,Directed,608
50,8299,Directed,609
123,8331,Directed,610
124,8332,Directed,611
66,8330,Directed,612
124,8332,Directed,613
118,8327,Directed,614
59,8281,Directed,615
88,8303,Directed,616
125,8325,Directed,617
66,8330,Directed,618
123,8331,Directed,619
67,8295,Directed,620
88,8303,Directed,621
126,8333,Directed,622
66,8289,Directed,623
66,8289,Directed,624
12,8238,Directed,625
3,8230,Directed,626
127,8334,Directed,627
72,8335,Directed,628
128,8302,Directed,629
3,8230,Directed,630
124,8332,Directed,631
129,8336,Directed,632
116,8283,Directed,633
124,8332,Directed,634
124,8332,Directed,635
76,8289,Directed,636
130,8302,Directed,637
3,8230,Directed,638
59,8281,Directed,639
131,8337,Directed,640
76,8289,Directed,641
124,8332,Directed,642
39,8338,Directed,643
3,8230,Directed,644
132,8339,Directed,645
133,8243,Directed,646
124,8332,Directed,647
102,8306,Directed,648
50,8299,Directed,649
3,8230,Directed,650
134,8340,Directed,651
124,8332,Directed,652
118,8327,Directed,653
17,8341,Directed,654
124,8332,Directed,655
22,8341,Directed,656
124,8332,Directed,657
134,8340,Directed,658
118,8327,Directed,659
3,8230,Directed,660
59,8281,Directed,661
135,8278,Directed,662
124,8332,Directed,663
135,8278,Directed,664
118,8327,Directed,665
134,8340,Directed,666
3,8230,Directed,667
124,8332,Directed,668
102,8306,Directed,669
134,8340,Directed,670
136,8342,Directed,671
137,8341,Directed,672
3,8230,Directed,673
138,8283,Directed,674
118,8327,Directed,675
127,8334,Directed,676
139,8282,Directed,677
50,8299,Directed,678
140,8341,Directed,679
141,8343,Directed,680
124,8332,Directed,681
50,8299,Directed,682
59,8281,Directed,683
3,8230,Directed,684
118,8327,Directed,685
50,8299,Directed,686
76,8289,Directed,687
95,8336,Directed,688
50,8299,Directed,689
3,8230,Directed,690
76,8289,Directed,691
142,8336,Directed,692
24,8251,Directed,693
142,8336,Directed,694
3,8230,Directed,695
102,8306,Directed,696
137,8341,Directed,697
102,8306,Directed,698
24,8251,Directed,699
3,8230,Directed,700
137,8341,Directed,701
143,8341,Directed,702
12,8238,Directed,703
3,8230,Directed,704
102,8306,Directed,705
3,8230,Directed,706
95,8261,Directed,707
144,8344,Directed,708
59,8281,Directed,709
59,8281,Directed,710
145,8283,Directed,711
3,8230,Directed,712
145,8283,Directed,713
86,8284,Directed,714
127,8334,Directed,715
12,8238,Directed,716
146,8278,Directed,717
147,8345,Directed,718
146,8278,Directed,719
148,8341,Directed,720
149,8283,Directed,721
149,8283,Directed,722
145,8283,Directed,723
145,8283,Directed,724
136,8342,Directed,725
149,8283,Directed,726
120,8261,Directed,727
140,8341,Directed,728
3,8230,Directed,729
140,8341,Directed,730
3,8230,Directed,731
150,8315,Directed,732
140,8341,Directed,733
118,8327,Directed,734
78,8328,Directed,735
145,8283,Directed,736
12,8238,Directed,737
3,8230,Directed,738
151,8296,Directed,739
152,8261,Directed,740
3,8230,Directed,741
66,8289,Directed,742
68,8299,Directed,743
6,8233,Directed,744
102,8306,Directed,745
102,8306,Directed,746
12,8238,Directed,747
153,8346,Directed,748
102,8306,Directed,749
154,8261,Directed,750
155,8347,Directed,751
3,8230,Directed,752
66,8289,Directed,753
156,8346,Directed,754
102,8306,Directed,755
151,8296,Directed,756
118,8327,Directed,757
102,8306,Directed,758
12,8238,Directed,759
151,8296,Directed,760
157,8291,Directed,761
158,8348,Directed,762
151,8296,Directed,763
136,8349,Directed,764
151,8296,Directed,765
81,8256,Directed,766
81,8256,Directed,767
3,8230,Directed,768
106,8302,Directed,769
159,8350,Directed,770
3,8230,Directed,771
159,8350,Directed,772
3,8230,Directed,773
102,8306,Directed,774
76,8289,Directed,775
151,8296,Directed,776
106,8302,Directed,777
102,8306,Directed,778
59,8281,Directed,779
84,8261,Directed,780
118,8327,Directed,781
3,8230,Directed,782
160,8316,Directed,783
3,8230,Directed,784
102,8306,Directed,785
157,8291,Directed,786
12,8238,Directed,787
3,8230,Directed,788
157,8291,Directed,789
63,8351,Directed,790
161,8314,Directed,791
157,8291,Directed,792
161,8314,Directed,793
59,8281,Directed,794
102,8306,Directed,795
162,8352,Directed,796
12,8238,Directed,797
3,8230,Directed,798
163,8283,Directed,799
164,8353,Directed,800
164,8353,Directed,801
3,8230,Directed,802
165,8261,Directed,803
102,8306,Directed,804
3,8230,Directed,805
102,8306,Directed,806
3,8230,Directed,807
166,8354,Directed,808
106,8302,Directed,809
159,8350,Directed,810
3,8230,Directed,811
167,8355,Directed,812
168,8356,Directed,813
3,8230,Directed,814
169,8357,Directed,815
3,8230,Directed,816
12,8238,Directed,817
159,8350,Directed,818
68,8244,Directed,819
170,8260,Directed,820
134,8340,Directed,821
70,8291,Directed,822
171,8249,Directed,823
172,8358,Directed,824
3,8230,Directed,825
76,8327,Directed,826
102,8306,Directed,827
157,8291,Directed,828
171,8249,Directed,829
3,8230,Directed,830
102,8306,Directed,831
170,8260,Directed,832
173,8359,Directed,833
3,8230,Directed,834
174,8251,Directed,835
102,8306,Directed,836
106,8302,Directed,837
3,8230,Directed,838
157,8291,Directed,839
102,8306,Directed,840
151,8296,Directed,841
157,8291,Directed,842
175,8360,Directed,843
12,8238,Directed,844
112,8297,Directed,845
176,8302,Directed,846
157,8291,Directed,847
3,8230,Directed,848
147,8345,Directed,849
157,8291,Directed,850
106,8302,Directed,851
159,8350,Directed,852
157,8291,Directed,853
3,8230,Directed,854
159,8350,Directed,855
112,8297,Directed,856
3,8230,Directed,857
12,8238,Directed,858
112,8297,Directed,859
151,8296,Directed,860
171,8249,Directed,861
177,8361,Directed,862
178,8362,Directed,863
3,8230,Directed,864
3,8230,Directed,865
179,8363,Directed,866
157,8291,Directed,867
3,8230,Directed,868
124,8364,Directed,869
12,8238,Directed,870
3,8230,Directed,871
180,8365,Directed,872
112,8297,Directed,873
181,8317,Directed,874
106,8302,Directed,875
123,8331,Directed,876
112,8297,Directed,877
3,8230,Directed,878
134,8340,Directed,879
134,8340,Directed,880
182,8366,Directed,881
157,8291,Directed,882
123,8331,Directed,883
3,8230,Directed,884
157,8291,Directed,885
3,8230,Directed,886
112,8297,Directed,887
151,8296,Directed,888
183,8367,Directed,889
123,8331,Directed,890
184,8368,Directed,891
179,8363,Directed,892
157,8291,Directed,893
123,8331,Directed,894
183,8367,Directed,895
112,8297,Directed,896
179,8363,Directed,897
183,8367,Directed,898
106,8302,Directed,899
157,8291,Directed,900
134,8340,Directed,901
159,8350,Directed,902
185,8369,Directed,903
185,8369,Directed,904
112,8297,Directed,905
185,8369,Directed,906
112,8297,Directed,907
151,8296,Directed,908
106,8302,Directed,909
112,8297,Directed,910
185,8369,Directed,911
186,8370,Directed,912
187,8261,Directed,913
151,8296,Directed,914
63,8371,Directed,915
134,8340,Directed,916
134,8340,Directed,917
188,8341,Directed,918
134,8340,Directed,919
189,8273,Directed,920
179,8363,Directed,921
134,8340,Directed,922
188,8341,Directed,923
134,8340,Directed,924
151,8296,Directed,925
189,8273,Directed,926
112,8297,Directed,927
151,8296,Directed,928
76,8289,Directed,929
190,8264,Directed,930
76,8289,Directed,931
188,8341,Directed,932
76,8289,Directed,933
151,8296,Directed,934
191,8235,Directed,935
75,8296,Directed,936
112,8297,Directed,937
182,8366,Directed,938
112,8297,Directed,939
157,8291,Directed,940
192,8372,Directed,941
189,8273,Directed,942
182,8366,Directed,943
193,8373,Directed,944
194,8242,Directed,945
185,8369,Directed,946
195,8374,Directed,947
194,8242,Directed,948
191,8235,Directed,949
185,8369,Directed,950
95,8293,Directed,951
191,8235,Directed,952
194,8242,Directed,953
185,8369,Directed,954
76,8289,Directed,955
196,8260,Directed,956
197,8375,Directed,957
198,8278,Directed,958
199,8369,Directed,959
200,8376,Directed,960
201,8261,Directed,961
202,8346,Directed,962
24,8251,Directed,963
196,8260,Directed,964
106,8302,Directed,965
198,8341,Directed,966
196,8260,Directed,967
185,8369,Directed,968
199,8369,Directed,969
203,8259,Directed,970
191,8235,Directed,971
169,8377,Directed,972
204,8378,Directed,973
157,8291,Directed,974
203,8259,Directed,975
204,8378,Directed,976
205,8379,Directed,977
206,8380,Directed,978
203,8259,Directed,979
106,8302,Directed,980
203,8259,Directed,981
204,8378,Directed,982
207,8294,Directed,983
204,8378,Directed,984
24,8251,Directed,985
208,8381,Directed,986
209,8382,Directed,987
210,8383,Directed,988
195,8384,Directed,989
211,8278,Directed,990
211,8278,Directed,991
210,8383,Directed,992
212,8385,Directed,993
213,8366,Directed,994
214,8386,Directed,995
215,8387,Directed,996
204,8378,Directed,997
61,8283,Directed,998
210,8383,Directed,999
33,8260,Directed,1000
212,8385,Directed,1001
216,8388,Directed,1002
217,8288,Directed,1003
218,8389,Directed,1004
216,8388,Directed,1005
212,8385,Directed,1006
219,8390,Directed,1007
220,8391,Directed,1008
221,8302,Directed,1009
204,8378,Directed,1010
216,8388,Directed,1011
182,8366,Directed,1012
222,8392,Directed,1013
59,8281,Directed,1014
220,8391,Directed,1015
223,8387,Directed,1016
216,8388,Directed,1017
182,8366,Directed,1018
224,8393,Directed,1019
6,8233,Directed,1020
9,8235,Directed,1021
182,8366,Directed,1022
76,8289,Directed,1023
182,8366,Directed,1024
225,8394,Directed,1025
194,8242,Directed,1026
102,8306,Directed,1027
182,8366,Directed,1028
15,8241,Directed,1029
182,8366,Directed,1030
102,8306,Directed,1031
204,8378,Directed,1032
182,8366,Directed,1033
226,8395,Directed,1034
182,8366,Directed,1035
182,8366,Directed,1036
102,8306,Directed,1037
204,8378,Directed,1038
102,8306,Directed,1039
8,8293,Directed,1040
227,8320,Directed,1041
228,8318,Directed,1042
228,8318,Directed,1043
102,8306,Directed,1044
6,8233,Directed,1045
227,8320,Directed,1046
203,8259,Directed,1047
76,8342,Directed,1048
216,8388,Directed,1049
228,8318,Directed,1050
102,8306,Directed,1051
179,8363,Directed,1052
229,8286,Directed,1053
22,8273,Directed,1054
227,8320,Directed,1055
216,8388,Directed,1056
230,8396,Directed,1057
8,8293,Directed,1058
102,8306,Directed,1059
76,8342,Directed,1060
220,8261,Directed,1061
212,8385,Directed,1062
102,8306,Directed,1063
228,8318,Directed,1064
220,8261,Directed,1065
228,8318,Directed,1066
76,8342,Directed,1067
227,8320,Directed,1068
179,8363,Directed,1069
228,8318,Directed,1070
102,8306,Directed,1071
231,8285,Directed,1072
228,8318,Directed,1073
64,8287,Directed,1074
214,8386,Directed,1075
102,8306,Directed,1076
214,8386,Directed,1077
75,8397,Directed,1078
15,8241,Directed,1079
222,8392,Directed,1080
232,8398,Directed,1081
102,8306,Directed,1082
233,8399,Directed,1083
233,8400,Directed,1084
9,8235,Directed,1085
9,8235,Directed,1086
194,8242,Directed,1087
9,8235,Directed,1088
76,8342,Directed,1089
214,8386,Directed,1090
102,8306,Directed,1091
76,8289,Directed,1092
102,8306,Directed,1093
234,8401,Directed,1094
40,8244,Directed,1095
102,8306,Directed,1096
17,8402,Directed,1097
205,8403,Directed,1098
235,8235,Directed,1099
102,8306,Directed,1100
214,8386,Directed,1101
212,8385,Directed,1102
234,8401,Directed,1103
102,8306,Directed,1104
236,8404,Directed,1105
102,8306,Directed,1106
102,8306,Directed,1107
237,8405,Directed,1108
51,8406,Directed,1109
214,8386,Directed,1110
51,8406,Directed,1111
102,8306,Directed,1112
205,8407,Directed,1113
204,8378,Directed,1114
214,8386,Directed,1115
205,8407,Directed,1116
205,8407,Directed,1117
102,8306,Directed,1118
102,8306,Directed,1119
238,8315,Directed,1120
6,8233,Directed,1121
6,8233,Directed,1122
222,8392,Directed,1123
102,8306,Directed,1124
168,8408,Directed,1125
194,8242,Directed,1126
214,8386,Directed,1127
102,8306,Directed,1128
239,8409,Directed,1129
214,8386,Directed,1130
205,8407,Directed,1131
240,8410,Directed,1132
205,8407,Directed,1133
102,8306,Directed,1134
241,8302,Directed,1135
40,8297,Directed,1136
240,8410,Directed,1137
102,8306,Directed,1138
102,8306,Directed,1139
204,8378,Directed,1140
222,8392,Directed,1141
75,8296,Directed,1142
205,8407,Directed,1143
232,8398,Directed,1144
102,8306,Directed,1145
205,8407,Directed,1146
237,8405,Directed,1147
24,8251,Directed,1148
205,8407,Directed,1149
102,8306,Directed,1150
242,8411,Directed,1151
222,8392,Directed,1152
237,8405,Directed,1153
243,8376,Directed,1154
210,8383,Directed,1155
40,8378,Directed,1156
237,8405,Directed,1157
244,8333,Directed,1158
102,8306,Directed,1159
205,8407,Directed,1160
245,8412,Directed,1161
75,8296,Directed,1162
246,8247,Directed,1163
222,8392,Directed,1164
244,8333,Directed,1165
205,8407,Directed,1166
75,8296,Directed,1167
232,8398,Directed,1168
205,8407,Directed,1169
245,8412,Directed,1170
102,8306,Directed,1171
102,8306,Directed,1172
76,8327,Directed,1173
205,8407,Directed,1174
237,8405,Directed,1175
210,8383,Directed,1176
233,8339,Directed,1177
210,8383,Directed,1178
233,8235,Directed,1179
17,8374,Directed,1180
233,8385,Directed,1181
102,8306,Directed,1182
205,8407,Directed,1183
237,8405,Directed,1184
102,8306,Directed,1185
237,8405,Directed,1186
102,8306,Directed,1187
232,8398,Directed,1188
88,8303,Directed,1189
102,8306,Directed,1190
6,8233,Directed,1191
102,8306,Directed,1192
247,8413,Directed,1193
237,8405,Directed,1194
102,8306,Directed,1195
240,8410,Directed,1196
237,8405,Directed,1197
76,8327,Directed,1198
205,8407,Directed,1199
232,8398,Directed,1200
237,8405,Directed,1201
40,8414,Directed,1202
102,8306,Directed,1203
240,8410,Directed,1204
237,8405,Directed,1205
205,8407,Directed,1206
237,8405,Directed,1207
237,8405,Directed,1208
220,8261,Directed,1209
102,8306,Directed,1210
102,8306,Directed,1211
233,8291,Directed,1212
248,8415,Directed,1213
24,8251,Directed,1214
102,8306,Directed,1215
102,8306,Directed,1216
205,8407,Directed,1217
249,8277,Directed,1218
232,8398,Directed,1219
102,8306,Directed,1220
240,8410,Directed,1221
6,8233,Directed,1222
66,8409,Directed,1223
250,8416,Directed,1224
102,8306,Directed,1225
251,8384,Directed,1226
252,8417,Directed,1227
66,8409,Directed,1228
24,8251,Directed,1229
250,8416,Directed,1230
252,8417,Directed,1231
253,8418,Directed,1232
237,8405,Directed,1233
102,8306,Directed,1234
66,8409,Directed,1235
102,8306,Directed,1236
210,8383,Directed,1237
220,8391,Directed,1238
66,8409,Directed,1239
24,8251,Directed,1240
102,8306,Directed,1241
237,8405,Directed,1242
240,8410,Directed,1243
205,8407,Directed,1244
66,8409,Directed,1245
210,8383,Directed,1246
66,8409,Directed,1247
